セクタ番号,開始アドレス,終了アドレス
1,0,3FFF
2,4000,7FFF
3,8000,BFFF
4,C000,FFFF
5,10000,13FFF
6,14000,17FFF
7,18000,1BFFF
8,1C000,1FFFF
9,20000,3FFFF
10,40000,5FFFF
11,60000,7FFFF
12,80000,9FFFF
13,A0000,BFFFF
14,C0000,DFFFF
15,E0000,FFFFF
16,100000,11FFFF
17,120000,13FFFF
18,140000,15FFFF
19,160000,17FFFF
20,180000,19FFFF
21,1A0000,1BFFFF
22,1C0000,1DFFFF
23,1E0000,1FFFFF
24,200000,21FFFF
25,220000,23FFFF
26,240000,25FFFF
27,260000,27FFFF
28,280000,29FFFF
29,2A0000,2BFFFF
30,2C0000,2DFFFF
31,2E0000,2FFFFF
32,300000,31FFFF
33,320000,33FFFF
34,340000,35FFFF
35,360000,37FFFF
36,380000,39FFFF
37,3A0000,3BFFFF
38,3C0000,3DFFFF
39,3E0000,3FFFFF
40,400000,41FFFF
41,420000,43FFFF
42,440000,45FFFF
43,460000,47FFFF
44,480000,49FFFF
45,4A0000,4BFFFF
46,4C0000,4DFFFF
47,4E0000,4FFFFF
48,500000,51FFFF
49,520000,53FFFF
50,540000,55FFFF
51,560000,57FFFF
52,580000,59FFFF
53,5A0000,5BFFFF
54,5C0000,5DFFFF
55,5E0000,5FFFFF
56,600000,61FFFF
57,620000,63FFFF
58,640000,65FFFF
59,660000,67FFFF
60,680000,69FFFF
61,6A0000,6BFFFF
62,6C0000,6DFFFF
63,6E0000,6FFFFF
64,700000,71FFFF
65,720000,73FFFF
66,740000,75FFFF
67,760000,77FFFF
68,780000,79FFFF
69,7A0000,7BFFFF
70,7C0000,7DFFFF
71,7E0000,7FFFFF
72,800000,81FFFF
73,820000,83FFFF
74,840000,85FFFF
75,860000,87FFFF
76,880000,89FFFF
77,8A0000,8BFFFF
78,8C0000,8DFFFF
79,8E0000,8FFFFF
80,900000,91FFFF
81,920000,93FFFF
82,940000,95FFFF
83,960000,97FFFF
84,980000,99FFFF
85,9A0000,9BFFFF
86,9C0000,9DFFFF
87,9E0000,9FFFFF
88,A00000,A1FFFF
89,A20000,A3FFFF
90,A40000,A5FFFF
91,A60000,A7FFFF
92,A80000,A9FFFF
93,AA0000,ABFFFF
94,AC0000,ADFFFF
95,AE0000,AFFFFF
96,B00000,B1FFFF
97,B20000,B3FFFF
98,B40000,B5FFFF
99,B60000,B7FFFF
100,B80000,B9FFFF
101,BA0000,BBFFFF
102,BC0000,BDFFFF
103,BE0000,BFFFFF
104,C00000,C1FFFF
105,C20000,C3FFFF
106,C40000,C5FFFF
107,C60000,C7FFFF
108,C80000,C9FFFF
109,CA0000,CBFFFF
110,CC0000,CDFFFF
111,CE0000,CFFFFF
112,D00000,D1FFFF
113,D20000,D3FFFF
114,D40000,D5FFFF
115,D60000,D7FFFF
116,D80000,D9FFFF
117,DA0000,DBFFFF
118,DC0000,DDFFFF
119,DE0000,DFFFFF
120,E00000,E1FFFF
121,E20000,E3FFFF
122,E40000,E5FFFF
123,E60000,E7FFFF
124,E80000,E9FFFF
125,EA0000,EBFFFF
126,EC0000,EDFFFF
127,EE0000,EFFFFF
128,F00000,F1FFFF
129,F20000,F3FFFF
130,F40000,F5FFFF
131,F60000,F7FFFF
132,F80000,F9FFFF
133,FA0000,FBFFFF
134,FC0000,FDFFFF
135,FE0000,FE3FFF
136,FE4000,FE7FFF
137,FE8000,FEBFFF
138,FEC000,FEFFFF
139,FF0000,FF3FFF
140,FF4000,FF7FFF
141,FF8000,FFBFFF
142,FFC000,FFFFFF
